"subject","question","correct_response","response","trial_index"
"5420","93","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, if you keep adding increments of 3, you keep getting the same few numbers",61
"5421","93","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, if you keep adding increments of 5 then you get all the different numbers",62
"5422","93","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, if you keep incrementing 6, you keep getting the same few numbers. ",63
"5477","94","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, because it can't make the odd numbers",60
"5478","94","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, it can't make 5 or 7 or or 8",61
"5479","94","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, it can't make 3 or 7 or 8",62
"5480","94","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, it can't make odd numbers",63
"5535","95","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","not sure",60
"5536","95","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","not sure",61
"5537","95","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","not sure",62
"5538","95","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","not sure",63
"5593","96","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, 2 is not a generator because you can't get odd results from it. I don't think it's possible to get 1, 3, 5, or 7 from using 2 as a generator.",60
"5594","96","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, 3 is not a generator because you can't get all the numbers from 0-8 from it as a result. I think you can only get 0, 3, and 6.",61
"5595","96","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, 5 is a generator because you can add 5 to itself and get all the numbers from 0-8, you just have to add another 5 each time.",62
"5596","96","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, 6 is not a generator because you can only get 0, 3, and 6 as a result from adding 6 to itself.",63
"5651","97","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, you can make every other number with two",60
"5652","97","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, 3 will not generate all the numbers",61
"5653","97","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, you can generate all the numbers.",62
"5654","97","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, it will not genera te all t he numbers",63
"5709","98","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because 2 plus any number will not equal 9.",60
"5710","98","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because 3 plus another number will give you 9.",61
"5711","98","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because 5 with another number will not equal 9.",62
"5712","98","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Pl ease exp lain in words how you got your answer.","","Yes because 6 plus another number will give you 9.",63
"5767","99","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, there is no way to make zero just using twos.",60
"5768","99","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. You can't make 1, 2, 4, 5, or 8 using just 3s. ",61
"5769","99","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can only make 1 and 6 out of 5s. You can't make the other numbers.",62
"5770","99","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can only generate 3 and 9 from sixes.",63
"5825","100","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't think so, because it wouldn't make every number below 9",60
"5826","100","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't think so, but I am unclear on the generator concept",61
"5827","100","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't think so but I am not sure why",62
"5828","100","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't think so but I can't explain why",63
"5883","101","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","8, Still not sure. ",60
"5884","101","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","1. Again, not sure. ",61
"5885","101","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. Because it can't make all numbers",62
"5886","101","Is 6 a generator unde r <img s rc=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Sure. I still don't know",63
"5941","102","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","It is a generator because you get all numbers if you kee p added  just the number 2.",60
"5942","102","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because if you keep add just the number 3, you only get 3, 6 and 0.",61
"5943","102","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because if you keep adding just the number 5, you get all the numbers.",62
"5944","102","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because if you keep adding just the number 6, you only get 0, 3, and 6.",63
"5999","103","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, 2 is a generator in this instance as moving clockwise by 2 results in even and odd numbers, given enough clockwise rotations.",60
"6000","103","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, 3 is not a generator in this instance, as no matter how many times one moves  clockwi se by 3, it will not land on some of the numbers.",61
"6001","103","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;he ight:14p x>? Please explain in words how you got your answer.","","Yes, 5 is a generator as given enough rotations of 5, it can land on any of the numbers.",62
"6002","103","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, 6 is not a generator, as even with multiple rotations, it will not land on all of the numbers.",63
"6057","104","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, you cannot get 1,,3,5,7,9 from it.",60
"6058","104","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes, you can get all the numbers at some point.",61
"6059","104","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes ther are produced alond the way same as +6.",62
"6060","104","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes, it is a factor of 9.",63
"6115","105","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","7. I notice every problem is based on a 9 point system realizing this I simply subtracted 2 from 9 and got 7. i checked my work by adding 2 to 7 and got 9 (or 0)",60
"6116","105","Is 3 a generator under <img src=./images/nonagon_symbol.png style= width:14 px;height:14px>? Please explain in words how you got your answer.","","no. if you keep adding 3 from the last number you have you hit the same numbers. ",61
"6117","105","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, if you keep adding 5 to each number you go around the circle number by number",62
"6118","105","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, it is an even number and an even number added to an even number can never be odd",63
"6173","106","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes. 2 can make all the even numbers up to 10, which becomes 1 and makes the odd numbers,and then continues up to 9, which becomes 0.",60
"6174","106","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. 3+3=6, 6+3=9, which becomes 0, and 0+3=3. There's no way to make the other numbers.",61
"6175","106","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, because it can make every number. 5+5=10->1, +5=6, +5=11->2, and so on.",62
"6176","106","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, it can only make 6,9,3, and 0.",63
"6231","107","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Not sure.",60
"6232","107","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Not sure.",61
"6233","107","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Not sure.",62
"6234","107","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Not sure.",63
"6289","108","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because you cant use it to get every other number ",60
"6290","108","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because it only gets 3 6 0",61
"6291","108","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because using 5 can hit all numbers",62
"6292","108","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because you can 0 3 6",63
"6347","109","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because you cannot create every number using 2.",60
"6348","109","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because you can only create 3,6,and 0 using 3.  You need to be able to make every number for it to be considered a generator.",61
"6349","109","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because all numbers can be recreated using 5 under non(9).",62
"6350","109","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because only 0, 3, and 6 can be recreated.",63
"6405","110","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't underestand generators so it might be.",60
"6406","110","Is 3 a generator under +<sub>9</sub>? Please explain in words  how you  got your answer.","","I do not understand generators so it might be.",61
"6407","110","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I do not understand generators so it might be.",62
"6408","110","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer."," ","I do not understand generators so it might be.",63
"6463","111","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","2 is not a generator because it cannot be used for every number.",60
"6464","111","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","3 is not a generator because it cannot be used for every number.",61
"6465","111","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","5 is not a generator because it cannot be used for every number",62
"6466","111","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","6 is not a generator because it cannot be used for every number",63
"6521","112","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. It is because 6 is under it",60
"6522","112","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because 8 is across from 3",61
"6523","112","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. 1 is across from 5",62
"6524","112","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. 6 is not across from anything",63
"6579","113","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I'm going to say no. It's half a guess, but i don't think two can create nine (and possibly other numbers)",60
"6580","113","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No.  It's mostly a guess, but my thinking is that eight can't be created by three. ",61
"6581","113","Is 5 a generator under <img src=./images/n onagon_s ymbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. I believe five can create all the numbers. It's mostly a guess based on the previous task. ",62
"6582","113","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. Again, i am pretty much just taking slightly educated guesses here (i didn't really understand this part) but i don't think 6 can create all of the numbers. ",63
"6637","114","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because there is no way on making some numbers usin g 2.",60
"6638","114","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because you can use it to make other numbers.",61
"6639","114","Is 5 a generator under <img src=./images/nonagon_symbo l.png  style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because you can use it to make it other numbers to work under 9",62
"6640","114","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because the other numbers make 6.",63
"6695","115","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no... if you keep adding 2s you don't get to nine....",60
"6696","115","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no.  i think it doesn't work.",61
"6697","115","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no. unsure.",62
"6698","115","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes. if you add six to six twice it is an zero.",63
"6753","116","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because it does not include odd numbers",60
"6754","116","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because there are number which will skipped in the cycle of 3",61
"6755","116","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because there are number which will skipped in the cycle of 5",62
"6756","116","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I do not believe 6 would be a generator as some integers would be skipped if using the number 6 ",63
"6811","117","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes 2=2, 2+2=4, 2+2+2= 6, 2+2+2 +2+8, 2+2+2+2+2=1, 2+2+2+2+2+2=3, etc so I can generate every number 0-8 using 2",60
"6812","117","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, because I can't generate 2,4,6 or 8 using 3",61
"6813","117","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes, because I can generate all numbers 0-8 using 5",62
"6814","117","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because I can only generate 0,3 & 6; can't generate 1,2,4,5,7,8",63
"6869","118","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","4 is a generator which is 2+2.",60
"6870","118","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","3+3 is +g. To be honest, I was lost throughout the lesson and forgot what eactly the symbol means.",61
"6871","118","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because is it less than 6.",62
"6872","118","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.",""," Yes because it is 6 or higher.",63
"6937","119","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no. I am not sure",80
"6938","119","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I really don't know",81
"6939","119","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I do not think so",82
"6940","119","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I do not think so, I am not sure",83
"6995","120","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes.  because i am able to get 4 with two",60
"6996","120","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, i cannot make 1, 2 3 4 or 5 with it.",61
"6997","120","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.",""," no, i ca nnot make anything else with it.",62
"6998","120","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes.  i can get to 2 with it",63
"7053","121","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. I admit, I real ly had d ifficulty wrapping my mind around the concept of generators, so I'll probably get every single one of these wrong ... but because you can't make 1, 3, 5, 7, or 9 using just 2.",60
"7054","121","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","3 is a generator under 2, because you can produce every element with it. ",61
"7055","121","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","5 is not a generator under 9, because there is no way to make 1, 2, 3, or 5 with 5.",62
"7056","121","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","6 is not a generator under 9 because you cannot produce every element with it. (Sorry, I honestly have no idea how else to explain this, and I have 0 confidence that I am even doing it correctly. I swear that I really am trying. You just had to pick the most difficult to grasp con cept to  ask me to explain a bunch of answers for, haha!)",63
"7111","122","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because you can create more sums or answers with the number 2",60
"7112","122","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Y es, because you can create more numbers from 3",61
"7113","122","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because, again, you can create more answers from that number",62
"7114","122","Is 6 a generator under <img src=./images/nonagon_symbol.png style=wid th:14px; height:14px>? Please explain in words how you got your answer.","","No, because you will not be able to get to more answers with that number.",63
"7169","123","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No? I don't understand the generators  exactly . I think it's... 0 and 8? So then 2 would not be?",60
"7170","123","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I don't think  so, but  am not sure. ",61
"7171","123","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I don't think it is, I didn't understand generators",62
"7172","123","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I don't understand. ",63
"7227","124","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes two is a generator because it is not a 1,3,5",60
"7228","124","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your ans wer.","","no because it is odd ",61
"7229","124","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no it isn't because it cant be added to itself",62
"7230","124","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because it is a even number ",63
"7285","125","Is 2 a generator under <img sr c=./im ages/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, you can hit every number in multiples of 2.",60
"7286","125","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can only hit 3,6,9 from 0.",61
"7287","125","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, you can hit all numbers with 5.",62
"7288","125","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, you can only hit 0,6,3.",63
"7343","126","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes - moving two points will skip half the numbers in a round, but as the function is based on an odd number, any skipped numbers will come up in the next round.",60
"7344","126","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?  Please e xplain in words how you got your answer.","","No - adding three will only result in answers of 3, 6, and 0",61
"7345","126","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes - using 5 as a generator will yield answers of 1, 6, 2, 7, 3, 8, 4, and 0",62
"7346","126","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No - 6 will only give answers of 3, 0, and 6",63
"7401","127","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes because 2(+9)2 = 4, 2(+9)2(+9)2 = 6, 2(+9 )2(+9)2( +9)2 = 8, 2(+9)2(+9)2(+9)2(+9)2 = 10-9 = 1. If we continue we can get 1,3,5,7,and 0",60
"7402","127","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No because we can only get 0,3,6",61
"7403","127","Is 5 a generator under +<sub>9</sub>? Please explain in wor ds how y ou got your answer.","","Yes.",62
"7404","127","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No we can only generate 0,3,6",63
"7459","128","Is 2 a gene rator un der <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, because 2 (9) 2 over and over again will get every number",60
"7460","128","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because you can only get 0, 3, and 6 from it",61
"7461","128","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, because you can get every number by adding steps of 5 (9) 5",62
"7462","128","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because you can, again, only get 0, 3, and 6",63
"7527","129","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no.There is no way to make a 2 under 9",80
"7528","129","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, it's possible to make one. 3 3 3 ",81
"7529","129","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, it's not possible to make 9 with 5",82
"7530","129","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Not sure. Unless you used 3s, but I don't think that's right. So, I'm going to say no. ",83
"7585","130","Is 2 a generator under +<sub>9</su b>? Plea se explain in words how you got your answer.","","no only 8",60
"7586","130","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no only 8",61
"7587","130","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no only 8",62
"7588","130","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no only 8",63
"7643","131","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes, 2+2 = 4,
2+2+2 = 6
6+2 = 8
1+2 = 3
3+2 = 5
5+2 =  7
7+2  = 0
0+2 = 2
2+",60
"7644","131","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because 3+3 = 6, 6+3 = 0
0+3 = 3
3+3 = 6",61
"7645","131","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, because 5+5 = 1, 1+5 = 6, 6+5 = 2, 2+5 = 7, 7+5 = 3, 3+5 = 8, 8+5 = 4, 4+5 = 0 ",62
"7646","131","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because it can only make 3, 0 and 6 but can't make the rest of the numbers in the range.",63
"7701","132","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes.  I counted 2 numbers clockwise several times and was able to generate each number from 0-8.",60
"7702","132","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. 3+3=6, 3+3+3=0.",61
"7703","132","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14p x>? Pl ease explain in words how you got your answer.","","Yes.  Counting 5 around I am able to generate each number.",62
"7704","132","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No.  Counting 6 around only lands on 0,3, and 6.",63
"7759","133","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. It is because you can produce every number by taking two steps around the figure.",60
"7760","133","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. Because you can only produce 0, 3, and 6.",61
"7761","133","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because you can produce every number using 5.",62
"7762","133","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you can only produce 0, 3, and 6.",63
"7817","134","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No.  Because 2 when added with  other even numbers won't give you 9 and allow you to get to its identity.",60
"7818","134","Is 3 a generator under +<sub>9</sub>? Please explain in words how you g ot your  answer.","","I think so.  Adding 3 with +9 each time allows you to end up with 9, subtract 9 from that, and get the identity.",61
"7819","134","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, I don't think it is mainly because once it's added to another 5, you're unable to make the smaller numbers.",62
"7820","134","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I think the same applies to 6, where you won't be able to create the smaller numbers with it.  I'm not completely sure though.",63
"7875","135","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, because you can add 2s together to end up with every other number between 0 and 8. 2 = 2, 2+2 = 4, 2+2+2 = 6, 2+2+2+2 = 8, 2+2+2+2+2=10-9=1, etc.",60
"7876","135","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. 3 can make 0, 3, and 6, but not 1, 2, 4, 5, 7, and 8.",61
"7877","135","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes. I counted increments of 5 and kept subtracting 5. By the time I got to 45 I had all the numbers between 0 and 8.",62
"7878","135","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I counted increments of 6 and subtracted 9, after about 4 increments it started generating the same numbers again. It can only generate 0, 3, and 6.",63
"7933","136","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, I don't think so. 2(+9)2=4 Adding an addition '(+9)2' to the left side of the equation each time would give you the foll owing re sults [6, 8, 1, 3, 5, 7, 9, 2, 4...]. Zero is never obtained, so it's not a generator.",60
"7934","136","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, I don't think so. 3(+9)3=6 Adding an additional (+9)3 to the left side of the equation will give you the results [0, 3, 6, 9] but none of the other numbers.",61
"7935","136","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I don't think so. Using the 5(+9)5 formula, and adding on an addition (+9)5 each time, I am only able to get [0, 1, 2, 3, 5, 6, 7, 8] before the pattern of results starts to repeat itself.",62
